id;value;quantity;package;components;TME;link;Bezpiecznik5A;Cena;Cena 100 szt;Suma 1cps;Suma 2 próg;;
1;12V POWER;1;MKDSN1.5/2-5.08;12V_PWR;MKDSN1.5/2-5.08;https://www.tme.eu/pl/details/mkdsn1.5_2-5.08/listwy-zaciskowe-do-druku/phoenix-contact/mkdsn-15-2-508-1729128/;k;;;0;0;;
2;18k;1;1206;R1;;https://www.tme.eu/pl/details/rc1206jr-0718k/rezystory-smd-1206/yageo/rc1206jr-0718kl/;k;0,0262;0,0262;0,02618;0,02618;;
3;3,3k;1;1206;R2;;https://www.tme.eu/pl/details/rc1206jr-073k3/rezystory-smd-1206/yageo/rc1206jr-073k3l/;k;0,0262;0,0262;0,02618;0,02618;;
4;100R;1;1206;R3;;https://www.tme.eu/pl/details/rc1206jr-07100r/rezystory-smd-1206/yageo/rc1206jr-07100rl/;k;0,0252;0,0252;0,02515;0,02515;;
5;22uf 63V;2;CAP-D8.0XH6.5;C4,C5;EEEFK1J220P;https://www.tme.eu/pl/details/eeefk1j220p/kondensatory-elektr-smd-niskoimpedan/panasonic/;k;1,0681;0,7523;2,13628;1,50454;;
6;100uf 63V;2;CAP-D10.0XH10.5;C6,C7;SC1J107M10010VR;https://www.tme.eu/pl/details/sc1j107m10010vr/kondensatory-elektrolityczne-smd-85c/samwha/;k;0,7533;0,5115;1,50654;1,023;;
7;MBRA340T3G;5;SMA;D1,D2,D3,D4,D5;MBRA340T3G;https://www.tme.eu/pl/details/mbra340t3g/diody-schottky-smd/on-semiconductor/;k;0,6646;0,5715;3,323;2,8575;;
8;NE555;1;DIP8;U1;NE555P;https://www.tme.eu/pl/details/ne555p/uklady-watchdog-i-reset/texas-instruments/;k;2,0424;0,5857;2,0424;0,5857;;
9;TIP42CG;1;TO-220;Q1;TIP42CG;https://www.tme.eu/pl/details/tip42cg/tranzystory-pnp-tht/on-semiconductor/;k;2,0365;1,2136;2,0365;1,2136;;
10;TIP41C;1;TO-220(TO-220-3);Q2;TIP41C;https://www.tme.eu/pl/details/tip41c/tranzystory-npn-tht/on-semiconductor-fairchild/tip41c-tu/;k;1,4484;1,0848;1,4484;1,0848;;
11;L7915CV;1;TO-220;U2;L7915CV;https://www.tme.eu/pl/details/l7915cv/stabilizatory-napiecia-nieregulowane/st-microelectronics/;k;0,9750;0,6858;0,975;0,6858;;
12;100uf 25V;1;CAP-D6.3XH5.5;C10;UCD1E101MCL1GS;https://www.tme.eu/pl/details/ucd1e101mcl1gs/kondensatory-elektr-smd-niskoimpedan/nichicon/;k;0,6677;0,5586;0,66765;0,55859;;
13;470uf;2;CAP-D8.0XH10.5;C11,C16;SC1C477M08010VR;https://www.tme.eu/pl/details/sc1c477m08010vr/kondensatory-elektrolityczne-smd-85c/samwha/;k;0,5559;0,4495;1,11186;0,8989;;
14;MT3608;1;SOT23-6;U3;;https://pl.aliexpress.com/item/in-stock-MT3608-B628-SOT-23/32800741581.html?spm=a2g0s.9042311.0.0.YNSnF7;k;0,3284;0,3284;0,3284;0,3284;;
15;24k;1;1206;R4;;https://www.tme.eu/pl/details/rc1206jr-0724k/rezystory-smd-1206/yageo/rc1206jr-0724kl/;k;0,0262;0,0262;0,02618;0,02618;;
16;1k;1;1206;R5;;https://www.tme.eu/pl/details/rc1206jr-071k/rezystory-smd-1206/yageo/rc1206jr-071kl/;k;0,0285;0,0285;0,02847;0,02847;;
17;680pf;1;1206;C12;;https://www.tme.eu/pl/details/cl31c681jbcnnnc/kondensatory-mlcc-smd-1206/samsung/;k;0,0886;0,0886;0,08861;0,08861;;
18;100nF;9;1206;C13,C8,C9,C17,C18,C15,C20,C21,C19;;https://www.tme.eu/pl/details/1206b104k251ct/kondensatory-mlcc-smd-1206/walsin/;k;0,0973;0,0973;0,87534;0,87534;;https://www.tme.eu/pl/details/cl31a226moclnnc/kondensatory-mlcc-smd-1206/samsung/
19;220uF;1;CAP-D8.0XH10.5;C14;SC1E227M08010VR;https://www.tme.eu/pl/details/sc1e227m08010vr/kondensatory-elektrolityczne-smd-85c/samwha/;k;0,4909;0,3924;0,49089;0,39239;;
20;10nF;2;1206;C1,C2;;https://www.tme.eu/pl/details/cc1206kkx7rb103/kondensatory-mlcc-smd-1206/yageo/cc1206kkx7rbbb103/;k;0,0719;0,0719;0,1438;0,1438;;
21;100uF;1;CAP-D6.3XH5.5;C3;UCD1E101MCL1GS;https://www.tme.eu/pl/details/ucd1e101mcl1gs/kondensatory-elektr-smd-niskoimpedan/nichicon/;k;0,6677;0,5586;0,66765;0,55859;;
22;22uh;1;7*7;L1;PCS74MT220;https://www.tme.eu/pl/details/pcs74mt220/dlawiki-smd-mocy/viking/;k;1,1760;0,6369;1,17603;0,63687;;
23;XH-3A;2;XH-3A;OUT_15V_Y,OUT_15V_X;B3B-XH-A;https://www.tme.eu/pl/details/b3b-xh-a/zlacza-sygnalowe-raster-250mm/jst/;k;0,5611;0,3732;1,12218;0,74646;;
24;XH-2A;2;XH-2A;AUX_12V,AUX_12V2;B2B-XH-A;https://www.tme.eu/pl/details/b2b-xh-a/zlacza-sygnalowe-raster-250mm/jst/;k;0,4822;0,4133;0,96448;0,82666;;
25;KEYSTONE 3568;1;KEYSTONE 3568 FUSE HOLDER;U6;3568;https://www.tme.eu/pl/details/keys3568/gniazda-bezpiecznikowe-samochodowe/keystone/3568/;MTA MINIVAL 5A;3,9800;3,2000;3,98;3,2;;
26;MC7906D2T;1;D2PAK-3;U8;MC7906CD2TG;https://www.tme.eu/pl/details/mc7906cd2tg/stabilizatory-napiecia-nieregulowane/on-semiconductor/;k;2,5906;2,2265;2,5906;2,2265;;
27;JST-XH 8;1;CONECTOR JSH-XH 8 PINES;OUT_PWR_MB;B8B-XH-A;https://www.tme.eu/pl/details/b8b-xh-a/zlacza-sygnalowe-raster-250mm/jst/;N;1,4615;1,2527;1,46153;1,25272;;
28;SK83-DIO;1;D-SMC;D8;SK83-DIO;https://www.tme.eu/pl/details/sk83-dio/diody-schottky-smd/diotec-semiconductor/sk83/;k;0,8603;0,7315;0,8603;0,7315;;
29;7805;1;TO252;U4;MC7805CDTG;https://www.tme.eu/pl/details/mc7805cdtg/stabilizatory-napiecia-nieregulowane/on-semiconductor/;k;1,1949;1,0515;1,1949;1,0515;;
30;7806;1;D2PAK-3;U5;L7806ABD2T;https://www.tme.eu/pl/details/l7806abd2t/stabilizatory-napiecia-nieregulowane/st-microelectronics/l7806abd2t-tr/;k;2,0400;1,4600;2,04;1,46;;
31;KA7906TU;1;TO-220(TO-220-3);U7;;U7 TO220 na wypadek braku D2PAK;;;;;;;
32;KA7806ETU;1;TO-220(TO-220-3);U9;;U9 TO220 na wypadek braku D2PAK;;;;33,3645;25,06393;;
